City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Leningradskiy,RU,33.58,broken clouds,69.3833,178.4167,Gostinitsa
1,Westport,US,65.53,clear sky,41.1415,-73.3579,The Westport Inn
3,Hobart,AU,41.05,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
4,Rosetta,EG,79.09,clear sky,31.4044,30.4164,Green Valley
5,Baillif,GP,78.3,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
6,New Norfolk,AU,40.71,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
8,Qaanaaq,GL,26.28,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
9,Faanui,PF,79.99,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,Kodiak,US,49.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
11,Bluff,NZ,53.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
12,Svogerslev,DK,60.8,broken clouds,55.6342,12.0147,Zleep Hotel Prindsen Roskilde
13,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
14,Cape Town,ZA,79.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
16,Nouadhibou,MR,69.78,overcast clouds,20.931,-17.0347,El Medina
17,Camana,PE,62.04,broken clouds,-16.6228,-72.7111,Hostal Morales
18,Portlethen,GB,53.37,overcast clouds,57.0547,-2.1307,Premier Inn Aberdeen South (Portlethen) hotel
19,Ribeira Grande,PT,64.8,fog,38.5167,-28.7,Quinta da Meia Eira
20,Hithadhoo,MV,83.5,broken clouds,-0.6,73.0833,Scoop Guest House
21,Kristiinankaupunki,FI,54.91,broken clouds,62.2743,21.376,Hotel Alma
23,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
24,Katiola,CI,74.7,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
25,Longyearbyen,SJ,44.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
26,Hermanus,ZA,69.04,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Salinopolis,BR,75.16,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
28,Rikitea,PF,72.61,broken clouds,-23.1203,-134.9692,People ThankYou
29,Hilo,US,77.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Bethel,US,64.27,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
31,Kavieng,PG,81.7,light rain,-2.5744,150.7967,Nusa Island Retreat
32,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
33,Arraial Do Cabo,BR,68.25,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
34,Norman Wells,CA,51.89,overcast clouds,65.282,-126.8329,Heritage Hotel
35,Mar Del Plata,AR,49.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
36,Cabo San Lucas,MX,69.51,clear sky,22.8909,-109.9124,Vista Roof Restaurant
37,Vao,NC,74.16,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
38,Termiz,UZ,98.69,clear sky,37.2242,67.2783,Hotel Ulugbek
39,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Santa Rosa,PH,92.01,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
42,Agadir,MA,66.65,few clouds,30.4202,-9.5982,Iberostar Founty Beach
43,Samana,DO,75.92,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
44,Mandan,US,51.96,overcast clouds,46.8267,-100.8896,Twin City Estates
45,Jamestown,US,69.03,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
46,Chiredzi,ZW,66.45,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
49,Bredasdorp,ZA,69.35,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
50,Marquette,US,48.78,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
52,Nikolskoye,RU,65.79,clear sky,59.7035,30.7861,Tourist House - Sablino
53,Nemuro,JP,44.94,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
55,Gap,FR,59.83,scattered clouds,44.6667,6.0,La Griotte
56,Broome,US,66.69,broken clouds,42.2506,-75.833,Chenango Valley State Park
57,Isangel,VU,74.62,broken clouds,-19.55,169.2667,Tanna Lodge
59,Punta Arenas,CL,37.51,clear sky,-53.15,-70.9167,Hotel Hain
60,Butaritari,KI,81.73,light rain,3.0707,172.7902,Isles Sunset Lodge
61,Ushuaia,AR,44.26,scattered clouds,-54.8,-68.3,Albatross Hotel
62,Formosa Do Rio Preto,BR,59.67,clear sky,-11.0483,-45.1931,Porto Center Hotel
63,Kulhudhuffushi,MV,82.63,overcast clouds,6.6221,73.07,Haajy Guest House 1
64,Oisterwijk,NL,63.16,mist,51.5792,5.1889,Fletcher Hotel-Restaurant Boschoord
65,Sakakah,SA,94.14,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
66,Esqueda,MX,71.11,clear sky,30.7167,-109.5833,Hotel Esqueda
67,Busselton,AU,62.17,overcast clouds,-33.65,115.3333,Observatory Guest House
68,Inuvik,CA,34.47,scattered clouds,68.3499,-133.7218,Nova Inn Inuvik
69,East London,ZA,65.34,clear sky,-33.0153,27.9116,Tu Casa
70,Mataura,NZ,53.47,clear sky,-46.1927,168.8643,Ellie's Villa
71,Temerloh,MY,91.17,broken clouds,3.4483,102.4176,U Design Hotel Temerloh
74,Barrow,US,24.82,overcast clouds,71.2906,-156.7887,King Eider Inn
75,Batagay,RU,76.14,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
76,Castro,BR,56.46,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
77,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
79,Waipawa,NZ,55.22,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
83,Namibe,AO,79.74,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
84,San Quintin,MX,62.74,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
85,Rio Grande,BR,52.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
86,Magadi,IN,87.76,scattered clouds,12.9667,77.2333,Gobi centre
88,Saint George,US,80.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
89,Derbent,RU,71.31,overcast clouds,42.0678,48.2899,Elit
90,Khatanga,RU,57.63,broken clouds,71.9667,102.5,"""Khatanga"""
91,Omboue,GA,78.58,broken clouds,-1.5746,9.2618,Hotel Olako
92,Upernavik,GL,27.86,overcast clouds,72.7868,-56.1549,Café de Upernavik
93,Taman,RU,71.19,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman'
94,Ostersund,SE,58.6,clear sky,63.1792,14.6357,Best Western Hotel Gamla Teatern
95,Half Moon Bay,US,59.11,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
96,Port Lincoln,AU,54.95,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
97,Yellowknife,CA,59.52,few clouds,62.456,-114.3525,The Explorer Hotel
98,Ilulissat,GL,35.62,few clouds,69.2167,-51.1,Hotel Arctic
99,Puerto Ayora,EC,70.43,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
100,Pandamatenga,BW,61.86,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
101,Flinders,AU,51.39,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
102,Republic,US,70.84,broken clouds,37.12,-93.4802,AmericInn by Wyndham Republic
103,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
104,Kasongo,CD,79.72,broken clouds,-4.45,26.6667,Guest Hôtel
105,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
107,Esperance,AU,56.7,overcast clouds,-33.8667,121.9,Hospitality Esperance
108,Hirado,JP,70.39,overcast clouds,33.3597,129.5531,Samson Hotel
109,Atambua,ID,81.19,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
111,Horsham,GB,62.31,broken clouds,51.064,-0.3272,Springfields Hotel
112,Stornoway,GB,57.04,few clouds,58.2093,-6.3865,Caladh Inn
113,Launceston,AU,43.16,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
114,Bobcaygeon,CA,61.88,overcast clouds,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
115,Ahipara,NZ,61.05,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
116,Kushima,JP,73.69,overcast clouds,31.4583,131.2333,Hanaoka
117,San Vicente,AR,57.52,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
118,Santa Cruz,BO,63.86,light rain,-17.8,-63.1667,Aviador Hotel Boutique
119,Prince Rupert,CA,51.96,overcast clouds,54.3161,-130.3201,Crest Hotel
120,Grindavik,IS,50.47,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
121,Biak,ID,79.74,overcast clouds,-0.9131,122.8766,Penginapan Kim
122,Chuy,UY,48.51,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
123,Sulmona,IT,86.22,clear sky,42.0479,13.9291,Hotel Santacroce
124,Segezha,RU,56.28,few clouds,63.7415,34.3222,Sampo Hotel
125,Touros,BR,72.39,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
126,Katsuura,JP,62.55,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
127,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
128,Banda Aceh,ID,85.69,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
129,Yarmouth,US,63.0,clear sky,41.7057,-70.2286,Blue Rock Resort
130,Kaeo,NZ,62.33,overcast clouds,-35.1,173.7833,Bushido Lodge
131,Nuuk,GL,41.61,clear sky,64.1835,-51.7216,Vandrehuset
132,Alugan,PH,83.37,overcast clouds,12.2188,125.4808,JM Lodge
133,Wajima,JP,61.48,mist,37.4,136.9,Wajiima Onsen Yashio
135,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
136,Kijang,KR,64.33,broken clouds,35.2442,129.2139,Samyang Beach Villa
137,Nanlong,CN,91.35,broken clouds,31.3533,106.0631,Demei Hotel
138,Cutro,IT,80.65,clear sky,39.0353,16.9819,Gallella Viaggi - Agenzia Viaggi e Turismo
139,Barguzin,RU,53.08,light rain,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
140,Carbonia,IT,77.65,scattered clouds,39.1672,8.5222,Lu 'Hotel
141,Labuhan,ID,85.84,overcast clouds,-6.8844,112.2051,DoubleFAG
142,Foumbot,CM,70.43,overcast clouds,5.5079,10.6356,HÔTEL ROYAL
143,Dabou,CI,78.4,overcast clouds,5.3256,-4.3769,Résidence N'Da
144,Lebu,CL,52.65,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
145,Presidencia Roque Saenz Pena,AR,51.93,clear sky,-26.7852,-60.4388,Hotel Gualok
146,Northam,GB,61.39,overcast clouds,51.0333,-4.2167,Durrant House Hotel
147,Ayan,RU,43.0,scattered clouds,56.45,138.1667,Gostinitsa
149,Fort Collins,US,60.96,clear sky,40.5853,-105.0844,Best Western University Inn
150,Shanghai,CN,84.92,clear sky,31.2222,121.4581,Swissotel Grand Shanghai
151,Sambava,MG,77.34,light rain,-14.2667,50.1667,Melrose
152,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
153,Otane,NZ,60.01,light rain,-39.8833,176.6333,Ludlow Farmstay
154,Kokopo,PG,79.5,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
155,Constitucion,CL,50.81,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
156,Mirebalais,HT,77.72,overcast clouds,18.8333,-72.1053,Le Jardin
157,Pacific Grove,US,55.08,clear sky,36.6177,-121.9166,Lovers Point Inn
158,Tasiilaq,GL,39.36,overcast clouds,65.6145,-37.6368,The Red House
159,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
160,Pevek,RU,34.16,scattered clouds,69.7008,170.3133,Severnoye Zoloto
161,Pisco,PE,62.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
162,Naze,JP,71.67,overcast clouds,28.3667,129.4833,Shishime Hotel
163,Dubai,AE,96.82,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
164,Eidsvag,NO,55.45,few clouds,62.7767,8.0668,Eidsvåg Fjordhotell
165,Tucupita,VE,71.13,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
166,Zhigansk,RU,66.42,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
167,Altay,CN,67.19,overcast clouds,47.8667,88.1167,Jinqiao Hotel
168,Najran,SA,93.4,few clouds,17.4924,44.1277,محمد هادي ال فطيح
169,Roma,US,69.82,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
170,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
171,Colombo,LK,84.15,overcast clouds,6.9319,79.8478,Galle Face Hotel
172,Pahrump,US,82.26,few clouds,36.2083,-115.9839,Best Western Pahrump Oasis
173,Guilin,CN,87.91,broken clouds,25.2819,110.2864,Grand 0773 Hotel
175,Carnarvon,AU,79.92,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
176,Great Yarmouth,GB,62.08,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
177,Noumea,NC,77.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
178,Dunedin,NZ,58.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
179,Makakilo City,US,76.57,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
180,Manzanillo,CU,76.06,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
182,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
183,Champerico,GT,77.16,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
184,Quelimane,MZ,66.88,moderate rain,-17.8786,36.8883,Hotel Flamingo
185,Fare,PF,79.57,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
186,Ponta Do Sol,PT,70.0,scattered clouds,32.6667,-17.1,Hotel do Campo
187,Pangnirtung,CA,32.36,few clouds,66.1451,-65.7125,Kilabuk Lodge
188,Pimentel,PE,63.23,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
189,Bodajk,HU,74.95,clear sky,47.3235,18.2331,Hétkúti Wellness Hotel és Lovaspark
190,Olafsvik,IS,49.19,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
191,Paamiut,GL,39.63,few clouds,61.994,-49.6678,Pistut
192,Cherskiy,RU,47.19,broken clouds,68.75,161.3,Gostinitsa
193,Maragogi,BR,73.27,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
194,Sahuaripa,MX,76.84,few clouds,29.05,-109.2333,Estatua de Sahuaripa
195,Khandyga,RU,76.01,clear sky,62.6667,135.6,Apel'sin
196,San Patricio,US,82.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
198,Namatanai,PG,80.53,light rain,-3.6667,152.4333,Seagulls Inn Namatani
199,Honningsvag,NO,47.95,few clouds,70.9821,25.9704,Nordkapp Vandrerhjem
200,Riberalta,BO,71.4,scattered clouds,-10.9833,-66.1,Hotel Colonial
201,Hotaka,JP,61.3,broken clouds,36.3396,137.8825,にし屋別荘
203,Faya,SA,86.52,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
204,Trincomalee,LK,90.63,moderate rain,8.5711,81.2335,Welcombe Hotel
205,Korla,CN,90.0,scattered clouds,41.7597,86.1469,Gulisitan Hotel
206,Ketchikan,US,52.27,light rain,55.3422,-131.6461,Snow's Cove Lodge
207,Ordubad,AZ,84.13,clear sky,38.9059,46.0234,Ordubad Oteli
208,Allen,US,66.9,overcast clouds,41.0706,-85.0144,"Holiday Inn Express Fort Wayne-East (New Haven), an IHG Hotel"
209,Byron Bay,AU,55.71,clear sky,-28.65,153.6167,Backpackers Inn
210,Black Diamond,US,52.39,clear sky,47.3087,-122.0032,Lake Sawyer RV Resort
212,Kurilsk,RU,44.4,scattered clouds,45.2333,147.8833,Hotel Ostrov
213,Aksha,RU,73.13,broken clouds,50.2814,113.2867,Vizit
214,Tupik,RU,73.56,overcast clouds,54.4253,119.9327,Guest House Orkhideya
215,Scottsbluff,US,59.29,broken clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
216,Cidreira,BR,61.52,overcast clouds,-30.1811,-50.2056,Hotel Castelo
217,Bereda,ES,59.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
218,Brasileia,BR,74.37,overcast clouds,-11.0161,-68.7481,Pousada Tobias
219,Kremenki,RU,65.01,clear sky,54.885,37.1261,Country house Troitskoe 114
220,Aguimes,ES,66.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
221,Kirakira,SB,80.38,broken clouds,-10.4544,161.9205,SanBiz Lodge
223,Karratha,AU,78.33,clear sky,-20.7377,116.8463,ibis Styles Karratha
224,Rach Gia,VN,86.43,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
