City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Luderitz,-26.6481,15.1594,67.73,34,0,6.42,NA,2022-06-06 21:53:29
1,Puerto Ayora,-0.7393,-90.3518,78.76,90,76,5.01,EC,2022-06-06 21:51:36
2,Yar-Sale,66.8333,70.8333,43.29,64,34,13.4,RU,2022-06-06 21:53:30
3,Saint-Philippe,-21.3585,55.7679,67.59,79,54,8.41,RE,2022-06-06 21:53:30
4,Shingu,33.7333,135.9833,67.64,83,19,5.21,JP,2022-06-06 21:53:31
5,Oswego,43.4501,-76.1497,78.94,76,100,10.51,US,2022-06-06 21:53:31
6,Hobart,-42.8794,147.3294,40.86,83,40,8.05,AU,2022-06-06 21:53:31
7,Ancud,-41.8697,-73.8203,49.14,98,100,5.01,CL,2022-06-06 21:51:29
8,Angoche,-16.2325,39.9086,66.45,92,2,9.1,MZ,2022-06-06 21:53:32
9,Ushuaia,-54.8,-68.3,35.26,75,40,11.5,AR,2022-06-06 21:51:22
10,Saldanha,-33.0117,17.9442,62.65,38,66,8.75,ZA,2022-06-06 21:53:33
11,Yambio,4.5721,28.3955,66.79,95,56,4.07,SS,2022-06-06 21:53:33
12,Lashio,22.9333,97.75,68.4,99,100,1.03,MM,2022-06-06 21:53:33
13,Kawalu,-7.3817,108.2082,70.18,95,82,2.15,ID,2022-06-06 21:53:34
14,Tasiilaq,65.6145,-37.6368,36.05,61,100,3.98,GL,2022-06-06 21:53:34
15,Lasa,46.6166,10.7002,65.28,93,89,1.01,IT,2022-06-06 21:53:35
16,Ribeira Grande,38.5167,-28.7,65.77,96,96,12.8,PT,2022-06-06 21:51:30
17,Sangali,7.0694,122.2014,76.73,81,15,0.96,PH,2022-06-06 21:53:35
18,Vestmannaeyjar,63.4427,-20.2734,49.32,85,100,26.28,IS,2022-06-06 21:53:36
19,Formosa Do Rio Preto,-11.0483,-45.1931,73.38,42,29,3.31,BR,2022-06-06 21:53:36
20,Isangel,-19.55,169.2667,73.51,94,20,0.0,VU,2022-06-06 21:53:37
21,Aguimes,27.9054,-15.4461,66.83,64,20,25.32,ES,2022-06-06 21:53:37
22,Provideniya,64.3833,-173.3,39.31,81,0,8.95,RU,2022-06-06 21:53:38
23,Rikitea,-23.1203,-134.9692,71.85,69,70,18.86,PF,2022-06-06 21:51:20
24,Punta Arenas,-53.15,-70.9167,37.51,93,75,10.36,CL,2022-06-06 21:52:26
25,Lagoa,39.05,-27.9833,64.8,94,74,21.03,PT,2022-06-06 21:53:38
26,Pisco,-13.7,-76.2167,69.85,64,0,12.66,PE,2022-06-06 21:53:39
27,Hay River,60.8156,-115.7999,67.98,37,75,12.66,CA,2022-06-06 21:53:39
28,Marsh Harbour,26.5412,-77.0636,80.58,79,93,17.0,BS,2022-06-06 21:53:40
29,Bowen,-20.0167,148.2333,71.17,82,100,5.95,AU,2022-06-06 21:53:40
30,Atuona,-9.8,-139.0333,78.01,74,15,13.67,PF,2022-06-06 21:53:41
31,Alexandria,31.2156,29.9553,75.16,73,0,5.75,EG,2022-06-06 21:53:41
32,Hilo,19.7297,-155.09,90.28,70,20,12.66,US,2022-06-06 21:51:26
33,Port Alfred,-33.5906,26.891,64.47,40,2,5.97,ZA,2022-06-06 21:53:42
34,Bluff,-46.6,168.3333,48.79,72,100,14.41,NZ,2022-06-06 21:53:42
35,Phalodi,27.1333,72.3667,85.86,34,0,17.05,IN,2022-06-06 21:53:42
36,Cape Town,-33.9258,18.4232,69.12,50,0,4.61,ZA,2022-06-06 21:48:47
37,Saint-Pierre,-21.3393,55.4781,69.91,68,0,8.05,RE,2022-06-06 21:53:43
38,Te Anau,-45.4167,167.7167,48.22,87,86,6.38,NZ,2022-06-06 21:51:35
39,Ordynskoye,54.3656,81.8994,45.09,71,100,5.73,RU,2022-06-06 21:53:44
40,Bambous Virieux,-20.3428,57.7575,71.85,83,40,6.91,MU,2022-06-06 21:53:44
41,Busselton,-33.65,115.3333,50.72,70,8,12.08,AU,2022-06-06 21:53:45
42,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,81,100,2.24,RU,2022-06-06 21:53:45
43,Abu Dhabi,24.4667,54.3667,93.22,62,0,3.44,AE,2022-06-06 21:53:46
44,Poum,-20.2333,164.0167,77.31,69,87,11.95,NC,2022-06-06 21:53:46
45,Barstow,34.8986,-117.0228,95.16,13,0,15.08,US,2022-06-06 21:53:47
46,Nipawin,53.3668,-104.0009,68.04,28,0,11.5,CA,2022-06-06 21:54:47
47,Albany,42.6001,-73.9662,78.64,44,100,5.1,US,2022-06-06 21:51:21
48,Hermanus,-34.4187,19.2345,63.93,44,47,9.19,ZA,2022-06-06 21:54:48
49,Hithadhoo,-0.6,73.0833,81.64,74,94,5.01,MV,2022-06-06 21:51:30
50,Norman Wells,65.282,-126.8329,55.44,58,75,8.05,CA,2022-06-06 21:51:22
51,Terrace,54.5163,-128.6035,60.71,55,75,13.8,CA,2022-06-06 21:54:49
52,Mataura,-46.1927,168.8643,48.47,77,100,3.96,NZ,2022-06-06 21:51:34
53,Chokurdakh,70.6333,147.9167,43.5,52,16,13.87,RU,2022-06-06 21:54:50
54,Changtu,42.7788,124.0955,56.41,90,91,5.73,CN,2022-06-06 21:54:51
55,Avarua,-21.2078,-159.775,80.65,74,75,10.36,CK,2022-06-06 21:51:24
56,Vaini,-21.2,-175.2,75.36,73,20,9.22,TO,2022-06-06 21:51:26
57,Borogontsy,62.6683,131.1683,70.75,50,40,1.07,RU,2022-06-06 21:54:52
58,Ayagoz,47.9714,80.4392,45.05,68,1,7.43,KZ,2022-06-06 21:54:52
59,Bredasdorp,-34.5322,20.0403,59.56,37,25,3.0,ZA,2022-06-06 21:51:21
60,Yeppoon,-23.1333,150.7333,62.38,73,98,5.06,AU,2022-06-06 21:54:53
61,Miri,4.4148,114.0089,75.34,100,20,2.3,MY,2022-06-06 21:54:53
62,Grand Gaube,-20.0064,57.6608,72.0,77,11,3.0,MU,2022-06-06 21:54:53
63,Upernavik,72.7868,-56.1549,32.38,83,9,11.72,GL,2022-06-06 21:54:54
64,Butaritari,3.0707,172.7902,80.62,79,12,11.72,KI,2022-06-06 21:54:54
65,Omboue,-1.5746,9.2618,75.16,84,92,4.85,GA,2022-06-06 21:54:55
66,Alta Floresta,-9.8756,-56.0861,79.5,64,81,2.19,BR,2022-06-06 21:52:17
67,Kodino,63.7198,39.6447,41.83,93,11,4.07,RU,2022-06-06 21:54:55
68,Payo,-3.7508,103.6372,70.45,97,84,1.34,ID,2022-06-06 21:54:56
69,Arraial Do Cabo,-22.9661,-42.0278,73.26,56,0,10.36,BR,2022-06-06 21:54:56
70,Victoria,22.2855,114.1577,81.95,94,100,3.0,HK,2022-06-06 21:51:03
71,Mount Gambier,-37.8333,140.7667,47.93,67,99,10.4,AU,2022-06-06 21:54:57
72,Clyde River,70.4692,-68.5914,41.23,70,100,5.75,CA,2022-06-06 21:54:57
73,Thompson,55.7435,-97.8558,66.36,20,20,13.8,CA,2022-06-06 21:54:58
74,Khatanga,71.9667,102.5,40.57,72,61,5.01,RU,2022-06-06 21:54:58
75,Cobija,-11.0267,-68.7692,80.22,62,65,3.15,BO,2022-06-06 21:54:59
76,Boende,-0.2167,20.8667,73.6,88,94,0.67,CD,2022-06-06 21:54:59
77,Tungor,53.3808,142.9564,57.56,55,96,4.63,RU,2022-06-06 21:55:00
78,Cabo San Lucas,22.8909,-109.9124,91.62,58,52,10.09,MX,2022-06-06 21:52:23
79,Gushikawa,26.3544,127.8686,70.83,96,40,8.05,JP,2022-06-06 21:55:00
80,Phan Thiet,10.9333,108.1,77.67,87,82,7.54,VN,2022-06-06 21:55:01
81,Kapaa,22.0752,-159.319,79.48,78,20,11.5,US,2022-06-06 21:51:23
82,Kaitangata,-46.2817,169.8464,51.91,61,100,3.98,NZ,2022-06-06 21:55:02
83,Conde,-7.2597,-34.9075,72.86,100,100,8.05,BR,2022-06-06 21:55:02
84,Georgetown,5.4112,100.3354,78.73,99,40,2.3,MY,2022-06-06 21:50:11
85,Taganak,6.0833,118.3,78.94,76,99,6.89,PH,2022-06-06 21:55:03
86,Pingliang,35.5392,106.6861,67.48,43,98,6.53,CN,2022-06-06 21:55:03
